Date,Flow [ML/d],M1,M2,M3,M4
2010-01-02,41.53753633,2.024518380200428,8.905718088432522,0.424787002354212,1.1171085787289279
2010-01-03,42.70218171,12.070221702993502,19.928776640205644,8.076276872896713,10.324579214583348
2010-01-04,44.77989544,24.84347571855124,27.807785466698476,23.954651553032384,24.463767304206414
2010-01-05,47.81706789,34.10529815055186,33.99828606888069,35.298949285247815,34.57287346044472
2010-01-06,45.27157691,39.91831859496254,37.4292933838913,41.79521518615472,40.727302394328014
2010-01-07,40.93182159,42.52537511178546,38.48725205599729,44.41542346753869,43.41603989708631
2010-01-08,39.63003683,42.81273635752346,38.83162633707456,44.2620145872013,43.52625138834943
2010-01-09,37.86098032,41.808232916136895,38.539150893459045,42.588740401921335,42.22176639921512
2010-01-10,38.36998176,40.52072869341968,38.48814745675395,40.66137353329127,40.63203462441649
2010-01-11,39.66379873,39.67758492633112,38.8424190126783,39.384490625618156,39.57048271460993
2010-01-12,41.90010133,39.648534726654916,39.761862515008865,39.15510667782454,39.42883320806595
2010-01-13,41.49693142,40.120614411178586,40.282344837929955,39.76368574849508,39.9570887217919
2010-01-14,36.00575731,39.988046272767605,38.99782752779009,40.208476652471724,40.09474556836596
2010-01-15,35.65103759,39.05997135156588,37.98872239991883,39.57762002274265,39.281834647560544
2010-01-16,35.30405703,37.82758640478575,37.17678057168347,38.10129752906582,37.94326729781367
2010-01-17,34.96988488,36.72391096725941,36.50766884930222,36.65581416979926,36.7042554624641
2010-01-18,62.81829098,39.33626780542814,44.38907613443203,37.65935379726091,38.50302244405789
2010-01-19,217.4974687,59.347622441884354,91.86960700204743,49.634052638977195,54.407387178383914
2010-01-20,257.4981808,95.05055419081984,133.60381397564325,78.93639973756459,87.50613325559098
2010-01-21,114.9035877,127.78544609758669,128.86711026956704,121.50865853423792,125.7802712612783
2010-01-22,155.6642914,147.79029222494123,135.6576890380543,158.7449772326665,152.58912385063283
2010-01-23,406.2978447,176.46945188846487,205.36574229997635,180.16017741571324,176.28777779707406
2010-01-24,1017.204964,293.39851851111075,428.4934683736787,250.08600155458643,271.8286945795902
2010-01-25,1493.46565,609.5756745263627,764.1507287155015,545.8423296372674,580.8336845052738
2010-01-26,1689.857568,1079.2930921450286,1116.0414561691584,1086.6019666532911,1082.0593297727419
2010-01-27,1880.571549,1466.5015903084204,1423.6985470708294,1501.8938307351475,1482.264046292654
2010-01-28,1796.664107,1674.2703819282626,1574.5580656200432,1713.0749896440243,1693.1225194163048
2010-01-29,2227.915176,1870.8548216725878,1840.074331003608,1876.8533088611525,1874.1010892790905
2010-01-30,3289.335869,2321.381399895764,2434.8118364741085,2273.054361234555,2298.6262487483878
2010-01-31,4009.880169,2980.733197030788,3090.5236602392865,2939.491807280473,2961.3375800948434
2010-02-01,4147.886103,3556.6681936459295,3536.3907349705064,3573.940450970565,3564.4139836814156
2010-02-02,3693.453397,3772.157899950167,3603.0206738730362,3840.0186691771596,3804.2203434250096
2010-02-03,2883.149056,3551.130548665121,3298.4867455090493,3633.627448194678,3591.111019269436
2010-02-04,2284.848482,3081.864112141682,2873.3236649310934,3134.7294652694345,3108.2178357367525
2010-02-05,1875.030802,2573.5417092687926,2458.654651293658,2586.05637920393,2580.861023331264
2010-02-06,1583.246509,2133.2356838542582,2098.2523366337596,2121.3488657586886,2128.528932889208
2010-02-07,1379.058397,1789.0646996787846,1804.3618699231984,1769.5409655998806,1780.0222734604702
2010-02-08,1234.731605,1533.142358300679,1572.9685972387538,1514.5892090649706,1524.0784022584849
2010-02-09,1118.586422,1343.8348494662437,1389.2515466224306,1329.5992796504875,1336.6637632490745
2010-02-10,1043.883624,1205.3399023359382,1250.115946687231,1194.5469467436992,1199.799739248278
2010-02-11,989.2950255,1105.261276284573,1145.327155939742,1096.966285736676,1100.9985556696279
2010-02-12,946.5817901,1032.6459756989784,1065.6422198123846,1026.7189183748521,1029.5897427101766
2010-02-13,909.2443039,978.5869049420488,1003.0352791351812,975.061020856959,976.7318427094694
2010-02-14,873.286909,935.7642895522754,951.9068135754889,934.0709473879334,934.8391941654937
2010-02-15,840.4407216,898.8625226781651,909.2920367884673,898.1615921688632,898.4528483558252
2010-02-16,819.5247645,867.3952831964526,875.7855588098155,866.5705315704281,866.9513060874037
2010-02-17,1129.748256,911.3677563711447,972.4800118026207,892.7996344344994,902.2204380956557
2010-02-18,1631.448157,1123.8784620911927,1236.4359528514503,1086.8313195371745,1106.082547138252
2010-02-19,1812.72641,1403.0009812406079,1468.772644964945,1386.4036626660468,1394.9607357923494
2010-02-20,2173.994924,1708.5787679871348,1754.749320400948,1705.2651849776773,1706.2261483412458
2010-02-21,2336.222789,1986.819299178642,1991.9420693096874,1993.950514823608,1989.9359993738426
2010-02-22,1907.021562,2062.382255512603,1957.2219189780967,2102.625206538316,2081.9000096938066
2010-02-23,1484.19066,1910.3634053105673,1764.319532561112,1960.3927862291116,1934.4183478281818
2010-02-24,1305.75917,1672.3916449089463,1578.1180107195985,1694.8210942062165,1683.6079130651012
2010-02-25,1267.898695,1475.5987349707937,1452.592726001888,1467.5473756764532,1472.5977209739624
2010-02-26,1393.720327,1389.8918357228188,1428.810861728988,1364.6262324728018,1378.2508646033439
2010-02-27,1583.073446,1422.424680542496,1491.1531472026152,1395.1224645710513,1409.265556581022
2010-02-28,1495.201345,1468.0525073930187,1492.7903251050143,1462.8266557881116,1465.2788125016564
2010-03-01,1428.025835,1472.8906890420926,1466.605398994715,1482.6028760727936,1477.0007305658692
