Date,modelled_flow
01/01/1889, 0
02/01/1889, 0.043770841786991
03/01/1889, 0.14160895867397
04/01/1889, 0.0804201528356582
05/01/1889, 0
06/01/1889, 0
07/01/1889, 0
08/01/1889, 0
09/01/1889, 0
10/01/1889, 0.045934180599575
11/01/1889, 0.0717587327525332
12/01/1889, 0.0621743579966695
13/01/1889, 0.148063762400902
14/01/1889, 0.0925960936558537
15/01/1889, 0
16/01/1889, 0
17/01/1889, 0
18/01/1889, 0
19/01/1889, 0
20/01/1889, 0
21/01/1889, 0
22/01/1889, 0
23/01/1889, 0
24/01/1889, 0
25/01/1889, 0.105796342733757
26/01/1889, 0.346321526993651
27/01/1889, 0.259117205333622
28/01/1889, 0.0323684783115918
29/01/1889, 0.459149386319234
30/01/1889, 0.909109004854797
31/01/1889, 0.308834017437773
01/02/1889, 0.267445034397983
02/02/1889, 0.0810296196066637
03/02/1889, 0.0172077690821024
04/02/1889, 0.0846607268144964
05/02/1889, 0.111488087688402
06/02/1889, 0
07/02/1889, 0
08/02/1889, 0.214006297866257
09/02/1889, 23.1515004309993
10/02/1889, 196.315387534287
11/02/1889, 417.74745879092
12/02/1889, 703.411060230323
13/02/1889, 1625.18394116874
14/02/1889, 1862.46136794717
15/02/1889, 1590.45446011995
16/02/1889, 1688.30425320049
17/02/1889, 1358.95079657128
18/02/1889, 964.07093036791
19/02/1889, 661.228201429572
20/02/1889, 544.159448036073
21/02/1889, 519.96398655876
22/02/1889, 508.063575940434
23/02/1889, 498.247387716167
24/02/1889, 489.014537453916
25/02/1889, 480.212707973243
26/02/1889, 471.605286286179
27/02/1889, 463.173290726405
28/02/1889, 454.911658697786
01/03/1889, 446.816642441454
02/03/1889, 438.884725720198
03/03/1889, 431.112484514311
04/03/1889, 424.315887922406
05/03/1889, 424.842104286787
06/03/1889, 630.50432726044
07/03/1889, 894.551576527639
08/03/1889, 616.941215837779
09/03/1889, 436.795884118234
10/03/1889, 420.765660652523
11/03/1889, 412.77532265164
12/03/1889, 405.558700786629
13/03/1889, 398.834035872443
14/03/1889, 398.570118395447
15/03/1889, 567.202006383371
16/03/1889, 773.960291510208
17/03/1889, 610.361530958093
18/03/1889, 762.009895901656
19/03/1889, 964.76850633885
20/03/1889, 813.971960585263
21/03/1889, 569.268455387745
22/03/1889, 478.592381924954
23/03/1889, 460.498939051391
24/03/1889, 450.93963925089
25/03/1889, 442.930174236133
26/03/1889, 435.29217036183
27/03/1889, 427.836700126945
28/03/1889, 420.647564150975
29/03/1889, 413.678570612601
30/03/1889, 406.538391910518
31/03/1889, 399.53975430828
01/04/1889, 392.907425614071
02/04/1889, 386.33354082191
03/04/1889, 379.662682763095
04/04/1889, 373.306994390284
05/04/1889, 367.402183625484
06/04/1889, 361.829883960642
07/04/1889, 355.559360941858
08/04/1889, 349.31160084587
09/04/1889, 343.808227250375
10/04/1889, 344.275910142202
11/04/1889, 440.704967725843
12/04/1889, 522.755030905291
13/04/1889, 343.306629986263
14/04/1889, 337.629849971741
15/04/1889, 332.162137633695
16/04/1889, 326.687797236093
17/04/1889, 321.450170418137
18/04/1889, 316.558129154693
19/04/1889, 311.598006240353
20/04/1889, 310.165511204214
21/04/1889, 390.395065632975
22/04/1889, 640.651923761316
23/04/1889, 815.43001597451
24/04/1889, 649.594243706983
25/04/1889, 419.620973845525
26/04/1889, 346.594533080313
27/04/1889, 343.361270251034
28/04/1889, 340.624541723396
29/04/1889, 361.164693692486
30/04/1889, 454.272220723673
01/05/1889, 605.484859149394
02/05/1889, 744.656706394308
03/05/1889, 911.083024536208
04/05/1889, 1002.66589600094
05/05/1889, 831.908350364814
06/05/1889, 574.589880686219
07/05/1889, 473.955850656965
08/05/1889, 453.191922777583
09/05/1889, 443.213804272305
10/05/1889, 435.402947060524
11/05/1889, 428.110055639189
12/05/1889, 421.02782839572
13/05/1889, 414.094706556851
14/05/1889, 407.290227874092
15/05/1889, 400.644709744527
16/05/1889, 394.361853411005
17/05/1889, 388.330146833573
18/05/1889, 385.667534190699
19/05/1889, 471.036788645762
20/05/1889, 579.061032599165
21/05/1889, 483.353688818251
22/05/1889, 449.05328772794
23/05/1889, 427.221184052849
24/05/1889, 479.945893077729
25/05/1889, 500.352390083364
26/05/1889, 478.765893619565
27/05/1889, 415.920885780725
28/05/1889, 398.109445916838
29/05/1889, 387.70386611334
30/05/1889, 380.96196929397
31/05/1889, 374.795747985317
01/06/1889, 368.802603489998
02/06/1889, 362.93135081538
03/06/1889, 357.174320844007
04/06/1889, 351.528469568934
05/06/1889, 345.991423896812
06/06/1889, 340.560789993451
07/06/1889, 335.234524916761
08/06/1889, 330.010632317765
09/06/1889, 324.886563777731
10/06/1889, 319.86035308715
11/06/1889, 314.930038727789
12/06/1889, 310.09378077113
13/06/1889, 305.349462654252
14/06/1889, 300.695327587572
15/06/1889, 296.129299623407
16/06/1889, 291.649841095873
17/06/1889, 287.255093356494
18/06/1889, 282.943255125706
19/06/1889, 278.712781748554
20/06/1889, 274.561705374828
21/06/1889, 270.488552236823
22/06/1889, 266.511327284691
23/06/1889, 262.678347985322
24/06/1889, 258.904822591974
25/06/1889, 255.460179895952
26/06/1889, 252.113149873763
27/06/1889, 247.746171760252
28/06/1889, 244.028144297116
29/06/1889, 240.523322040692
30/06/1889, 237.083248423885
01/07/1889, 233.706663375094
02/07/1889, 230.392095332399
03/07/1889, 228.094695670391
04/07/1889, 246.839053070898
05/07/1889, 252.823121885544
06/07/1889, 229.866955189013
07/07/1889, 226.623040569017
08/07/1889, 223.493327496001
09/07/1889, 220.55717604918
10/07/1889, 217.638907605008
11/07/1889, 214.470505957938
12/07/1889, 211.31900036707
13/07/1889, 208.322233506635
14/07/1889, 205.464049314814
15/07/1889, 202.719406987297
16/07/1889, 200.092964918417
17/07/1889, 197.593741402189
18/07/1889, 195.083460548379
