Date,Storage Routing: Default Link #115 - Storage routing: Downstream Flow (ML.day^-1),Storage Routing: Default Link #115 - Storage routing: Upstream Flow (ML.day^-1),Storage Routing: Default Link #115 - Storage routing: Storage Volume (ML)
1889-01-01,0,0,0
1889-01-02,0,0,0
1889-01-03,0,0,0
1889-01-04,0,0,0
1889-01-05,0,0,0
1889-01-06,0,0,0
1889-01-07,0,0,0
1889-01-08,0,0,0
1889-01-09,0,0,0
1889-01-10,0,0,0
1889-01-11,0,0,0
1889-01-12,0,0,0
1889-01-13,0,0,0
1889-01-14,0,0,0
1889-01-15,0,0,0
1889-01-16,0,0,0
1889-01-17,0,0,0
1889-01-18,0,0,0
1889-01-19,0,0,0
1889-01-20,0,0,0
1889-01-21,0,0,0
1889-01-22,0,0,0
1889-01-23,0,0,0
1889-01-24,0,0,0
1889-01-25,0,0,0
1889-01-26,63.7937871029359,65.9444,2.15061289706413
1889-01-27,102.565763235856,103.4858,3.0706496612084
1889-01-28,75.3097876384409,74.6748,2.43566202276754
1889-01-29,51.721931719662,51.1238,1.83753030310554
1889-01-30,40.1386070658155,39.8204,1.51932323729002
1889-01-31,31.364987994671,31.1084,1.262735242619
1889-02-01,24.5980987922662,24.3877,1.05233645035282
1889-02-02,19.3706329570707,19.198,0.879703493282083
1889-02-03,15.327268372707,15.1856,0.738035120575107
1889-02-04,12.1961428286788,12.0799,0.621792291896321
1889-02-05,9.77316322981982,9.678,0.526629062076498
1889-02-06,7.87763194190858,7.799,0.447997120167916
1889-02-07,6.39543630255424,6.3306,0.383160817613676
1889-02-08,5.23445104856291,5.181,0.329709769050767
1889-02-09,4.32125721653296,4.2771,0.285552552517808
1889-02-10,3.5982404057316,3.5616,0.248912146786206
1889-02-11,3.02156266629123,2.991,0.218349480494977
1889-02-12,2.55690171137742,2.5312,0.192647769117559
1889-02-13,2.17916582786855,2.1574,0.170881941249013
1889-02-14,1.86879928163104,1.8502,0.152282659617974
1889-02-15,1.61104144866836,1.595,0.136241210949613
1889-02-16,1.39297899931144,1.3789,0.122162211638178
1889-02-17,1.20507992724822,1.1925,0.109582284389954
1889-02-18,1.04174010280835,1.0304,0.0982421815816085
1889-02-19,0.905036906796126,0.8952,0.0884052747854823
1889-02-20,0.775658735373023,0.766,0.0787465394124591
1889-02-21,0.653219934272615,0.6437,0.0692266051398441
1889-02-22,0.551826526752253,0.5436,0.0610000783875911
1889-02-23,1.33712999649017,1.3946,0.118470081897418
1889-02-24,0.757788191230962,0.7167,0.0773818906664552
1889-02-25,12.047001073115,12.5857,0.616080817551409
1889-02-26,9.94617503050763,9.8637,0.53360578704378
1889-02-27,7.83895915804064,7.7517,0.446346629003137
1889-02-28,6.1815378141263,6.1087,0.373508814876833
1889-03-01,4.88705075399925,4.8267,0.313158060877581
1889-03-02,3.87273617200688,3.8226,0.263021888870697
1889-03-03,3.07365515030814,3.0318,0.221166738562556
1889-03-04,2.44005993511683,2.4049,0.186006803445723
1889-03-05,1.9347133014323,1.905,0.156293502013419
1889-03-06,1.52852046360601,1.5032,0.130973038407407
1889-03-07,1.19816284014647,1.1763,0.109110198260938
1889-03-08,0.926441398633631,0.9073,0.0899687996273066
1889-03-09,0.700423238116889,0.6834,0.0729455615104179
1889-03-10,0.512809701677096,0.4976,0.0577358598333213
1889-03-11,0.348061995741974,0.3335,0.0431738640913471
1889-03-12,23.7983052546573,24.7817,1.02656860943402
1889-03-13,38.1444173729157,38.5802,1.46235123651836
1889-03-14,29.0651163558466,28.7954,1.19263488067173
1889-03-15,22.9277610360209,22.7334,0.998273844650794
1889-03-16,18.2045931082759,18.046,0.839680736374914
1889-03-17,14.5483576470489,14.4184,0.709723089326035
1889-03-18,11.712516443274,11.606,0.603206646052067
1889-03-19,9.50716462380286,9.4198,0.515842022249211
1889-03-20,7.78711137027521,7.7154,0.444130651974006
1889-03-21,6.44054472772163,6.3816,0.385185924252376
