Date,picnic_sacr_fors_dsflow
01/01/1889, 0
02/01/1889, 0
03/01/1889, 0
04/01/1889, 0
05/01/1889, 0
06/01/1889, 0
07/01/1889, 0
08/01/1889, 0
09/01/1889, 0
10/01/1889, 0
11/01/1889, 0
12/01/1889, 0
13/01/1889, 0
14/01/1889, 0
15/01/1889, 0
16/01/1889, 0
17/01/1889, 0
18/01/1889, 0
19/01/1889, 0
20/01/1889, 0
21/01/1889, 0
22/01/1889, 0
23/01/1889, 0
24/01/1889, 0
25/01/1889, 0
26/01/1889, 0
27/01/1889, 0
28/01/1889, 0
29/01/1889, 0
30/01/1889, 9.40440833044497
31/01/1889, 8.04242833902253
01/02/1889, 6.91256256579055
02/02/1889, 5.98862823819186
03/02/1889, 5.23541086418816
04/02/1889, 4.6206384636645
05/02/1889, 4.09992233649013
06/02/1889, 3.67756577485002
07/02/1889, 3.33012657937548
08/02/1889, 54.4931881563601
09/02/1889, 160.375975972904
10/02/1889, 233.132015296216
11/02/1889, 410.026364506477
12/02/1889, 952.583038866629
13/02/1889, 1211.11470301617
14/02/1889, 1430.60571100208
15/02/1889, 1564.48439233545
16/02/1889, 1441.53339682445
17/02/1889, 1336.93168638998
18/02/1889, 1165.42487502579
19/02/1889, 1025.0800365081
20/02/1889, 909.553728254754
21/02/1889, 814.321026349984
22/02/1889, 735.641025171342
23/02/1889, 670.508532291544
24/02/1889, 616.473411589518
25/02/1889, 571.504843099953
26/02/1889, 533.953564713386
27/02/1889, 502.472291743152
28/02/1889, 475.9598103776
01/03/1889, 453.516455917183
02/03/1889, 434.407057105978
03/03/1889, 465.993445404653
04/03/1889, 495.073048247407
05/03/1889, 604.452934690889
06/03/1889, 678.72477024135
07/03/1889, 618.472388828917
08/03/1889, 570.000323580699
09/03/1889, 529.594474794207
10/03/1889, 495.831741650149
11/03/1889, 467.492022605183
12/03/1889, 443.596044120232
13/03/1889, 423.38072414436
14/03/1889, 541.238275644322
15/03/1889, 591.08259896116
16/03/1889, 563.104965722009
17/03/1889, 702.710164164923
18/03/1889, 833.925698988563
19/03/1889, 826.529407091797
20/03/1889, 741.709847955434
21/03/1889, 672.094078238941
22/03/1889, 614.426331638966
23/03/1889, 566.529459632062
24/03/1889, 526.625087834305
25/03/1889, 493.260387383252
26/03/1889, 465.247215637087
27/03/1889, 441.617022709485
28/03/1889, 421.59035439771
29/03/1889, 404.485733294322
30/03/1889, 389.785956090084
31/03/1889, 377.078524975615
01/04/1889, 366.002354106204
02/04/1889, 356.239463777522
03/04/1889, 347.590069715084
04/04/1889, 339.850705268369
05/04/1889, 332.903517031829
06/04/1889, 326.563777210899
07/04/1889, 335.475641451341
08/04/1889, 342.442758748779
09/04/1889, 377.691160987543
10/04/1889, 437.258458242093
11/04/1889, 448.748149869784
12/04/1889, 420.197386284057
13/04/1889, 396.596717216963
