Date,Flow [ML/d],M1,M2,M3,M4
2010-01-02,41.53753633,41.53753633,6.7085440167847965,1.4360196323701853,0.7203244288966801
2010-01-03,42.70218171,42.70218171,18.077547442382986,5.579196537112311,6.743224735734284
2010-01-04,44.77989544,44.77989544,28.975768831107523,12.21350059171649,25.45589759662323
2010-01-05,47.81706789,47.81706789,37.1457060687387,20.07300176864942,49.00464693215536
2010-01-06,45.27157691,45.27157691,41.95746080999475,27.656278318248155,52.10042921251779
2010-01-07,40.93182159,40.93182159,43.493510113921566,33.76039850194398,40.49478124721911
2010-01-08,39.63003683,39.63003683,42.93983644816533,37.83593168792519,44.98357709654453
2010-01-09,37.86098032,37.86098032,41.46552416447479,39.95808076141095,47.45760197105496
2010-01-10,38.36998176,38.36998176,40.07672101053529,40.62737117989266,34.38019252058939
2010-01-11,39.66379873,39.66379873,39.380941914729675,40.50948238313694,38.323806459335934
2010-01-12,41.90010133,41.90010133,39.62048556428655,40.223834089617114,41.731794579811094
2010-01-13,41.49693142,41.49693142,40.26866800541115,40.11495552431323,35.26866046116849
2010-01-14,36.00575731,36.00575731,39.956431773202176,40.0490819290766,43.820737487286515
2010-01-15,35.65103759,35.65103759,38.77569713016708,39.75750811155219,41.223549191994294
2010-01-16,35.30405703,35.30405703,37.44643539644067,39.148598701896056,36.15918673847151
2010-01-17,34.96988488,34.96988488,36.38479097151224,38.32153995430166,37.49021166765241
2010-01-18,62.81829098,62.81829098,40.18892918203332,38.41131755283502,32.22035593774994
2010-01-19,217.4974687,217.4974687,72.36707320368593,45.73312279839067,44.83103057767292
2010-01-20,257.4981808,257.4981808,127.75647122779517,66.10912923118832,77.63870675042955
2010-01-21,114.9035877,114.9035877,158.00605517620033,93.64891771938763,166.62545914007
2010-01-22,155.6642914,155.6642914,163.44309844745413,118.92685342240945,254.06924585568282
2010-01-23,406.2978447,406.2978447,203.12830535047505,145.5573357439171,203.68114829040888
2010-01-24,1017.204964,1017.204964,388.408920240149,201.96001429068446,159.45014380559314
2010-01-25,1493.46565,1493.46565,755.816190328533,322.90168994896726,482.8376537303757
2010-01-26,1689.857568,1689.857568,1166.2511615653107,518.2274849142852,1238.2932206792875
2010-01-27,1880.571549,1880.571549,1496.9016254936744,768.5611889338088,1708.6060565998098
2010-01-28,1796.664107,1796.664107,1683.8145868456515,1033.3044515081738,1782.8998760692161
2010-01-29,2227.915176,2227.915176,1873.6093401646065,1286.9050151336407,1861.5210496195882
2010-01-30,3289.335869,3289.335869,2322.1229524014448,1554.9811106799912,2061.3905945565143
2010-01-31,4009.880169,4009.880169,2980.919329632919,1885.7835096025044,2664.434894614058
2010-02-01,4147.886103,4147.886103,3556.711614247764,2290.1773686680535,3729.415250388117
2010-02-02,3693.453397,3693.453397,3772.16737238928,2711.927574175687,4310.688462281366
2010-02-03,2883.149056,2883.149056,3551.132515674676,3049.824510354751,3856.0939383841496
2010-02-04,2284.848482,2284.848482,3081.864509676767,3218.2883160571187,3258.4549153592693
2010-02-05,1875.030802,1875.030802,2573.5417885868646,3191.010953371237,2564.825917408034
2010-02-06,1583.246509,1583.246509,2133.2356995558584,3000.418336112291,1936.5948556859707
2010-02-07,1379.058397,1379.058397,1789.0647027628374,2709.4788940884087,1754.5108177047189
2010-02-08,1234.731605,1234.731605,1533.142358900919,2382.131445206209,1464.2367933013334
2010-02-09,1118.586422,1118.586422,1343.8348495818711,2065.657405874317,1265.1669091031033
2010-02-10,1043.883624,1043.883624,1205.3399023579207,1786.9682828681043,1208.4597961208497
2010-02-11,989.2950255,989.2950255,1105.2612201489567,1556.527203185128,1049.4634089934789
2010-02-12,946.5817901,946.5817901,1032.553658847695,1374.1168414388944,1025.7898900709815
2010-02-13,909.2443039,909.2443039,977.874557110608,1233.7413267294064,963.5716429589725
2010-02-14,873.286909,873.286909,933.8001476144867,1127.0419209915663,926.2714595828417
2010-02-15,840.4407216,840.4407216,895.6680815501172,1045.5531881230625,899.1904491044268
2010-02-16,819.5247645,819.5247645,863.4746323478344,982.329148102362,851.7479537882366
2010-02-17,1129.748256,1129.748256,914.4336344007875,943.7690152422449,853.3672484851086
2010-02-18,1631.448157,1631.448157,1127.730090239414,954.1428835224705,933.17815820957
2010-02-19,1812.72641,1812.72641,1404.8582941097502,1030.6481644661471,1308.1031201687877
2010-02-20,2173.994924,2173.994924,1709.321020950108,1174.978582599624,1778.4124859850326
2010-02-21,2336.222789,2336.222789,1987.0764311794137,1372.158677325631,2056.5501419489915
2010-02-22,1907.021562,1907.021562,2062.461640379603,1577.504681766877,2173.4030674954183
2010-02-23,1484.19066,1484.19066,1910.3858461027517,1730.501668329144,2224.043220509595
2010-02-24,1305.75917,1305.75917,1672.3975949800622,1791.9502296280757,1776.036840611266
2010-02-25,1267.898695,1267.898695,1475.600237136985,1763.7438279607966,1267.5061733218793
2010-02-26,1393.720327,1393.720327,1389.892199547709,1682.1435326123396,1276.6405410627367
2010-02-27,1583.073446,1583.073446,1422.4247653231985,1595.579213451574,1350.8266083787764
2010-02-28,1495.201345,1495.201345,1468.0525264092073,1533.3822123482885,1415.8060305756462
2010-03-01,1428.025835,1428.025835,1472.890693162117,1497.891228775672,1598.3289951387474
2010-03-02,1254.251881,1254.251881,1413.1321061064787,1472.7877496673195,1495.142084121431
2010-03-03,1108.324249,1108.324249,1305.403931008238,1438.3902158026444,1301.0821839554167
2010-03-04,971.2150431,971.2150431,1175.9731769891382,1382.4525814268509,1212.6428655391362
2010-03-05,896.0203924,896.0203924,1055.6078421155182,1304.384161527658,1029.708707792539
