File version,3
Missing data value,-9999
EOM
Project name,kalix_routing_test
Source version,5.20.0.12549
Latest result run time,2024-11-08 13:17:46
Simulation time,2010-01-02 - 2013-08-28
Field,Units,RunName,ScenarioName,ScenarioInputSetName,Name,Site,ElementName,WaterFeatureType,ElementType,Structure,Custom
EOC
12
1,ML.day^-1,Latest Run,Scenario 1,Default Input Set,Gauge: Outflow1: Downstream Flow,Outflow1,Downstream Flow,Gauge,Node,Downstream Flow,69d47089-84a8-4968-9f92-4fb0b456d70e,
2,ML,Latest Run,Scenario 1,Default Input Set,Gauge: Outflow1: Storage Volume,Outflow1,Storage Volume,Gauge,Node,Storage Volume,69d47089-84a8-4968-9f92-4fb0b456d70e,
3,ML.day^-1,Latest Run,Scenario 1,Default Input Set,Gauge: Outflow2: Downstream Flow,Outflow2,Downstream Flow,Gauge,Node,Downstream Flow,69d47089-84a8-4968-9f92-4fb0b456d70e,
4,ML,Latest Run,Scenario 1,Default Input Set,Gauge: Outflow2: Storage Volume,Outflow2,Storage Volume,Gauge,Node,Storage Volume,69d47089-84a8-4968-9f92-4fb0b456d70e,
5,ML.day^-1,Latest Run,Scenario 1,Default Input Set,Gauge: Outflow3: Downstream Flow,Outflow3,Downstream Flow,Gauge,Node,Downstream Flow,69d47089-84a8-4968-9f92-4fb0b456d70e,
6,ML,Latest Run,Scenario 1,Default Input Set,Gauge: Outflow3: Storage Volume,Outflow3,Storage Volume,Gauge,Node,Storage Volume,69d47089-84a8-4968-9f92-4fb0b456d70e,
7,ML.day^-1,Latest Run,Scenario 1,Default Input Set,Gauge: Outflow4: Downstream Flow,Outflow4,Downstream Flow,Gauge,Node,Downstream Flow,69d47089-84a8-4968-9f92-4fb0b456d70e,
8,ML,Latest Run,Scenario 1,Default Input Set,Gauge: Outflow4: Storage Volume,Outflow4,Storage Volume,Gauge,Node,Storage Volume,69d47089-84a8-4968-9f92-4fb0b456d70e,
9,ML.day^-1,Latest Run,Scenario 1,Default Input Set,Inflow: Inflow1: Downstream Flow,Inflow1,Downstream Flow,Inflow,Node,Downstream Flow,69d47089-84a8-4968-9f92-4fb0b456d70e,
10,ML.day^-1,Latest Run,Scenario 1,Default Input Set,Inflow: Inflow2: Downstream Flow,Inflow2,Downstream Flow,Inflow,Node,Downstream Flow,69d47089-84a8-4968-9f92-4fb0b456d70e,
11,ML.day^-1,Latest Run,Scenario 1,Default Input Set,Inflow: Inflow3: Downstream Flow,Inflow3,Downstream Flow,Inflow,Node,Downstream Flow,69d47089-84a8-4968-9f92-4fb0b456d70e,
12,ML.day^-1,Latest Run,Scenario 1,Default Input Set,Inflow: Inflow4: Downstream Flow,Inflow4,Downstream Flow,Inflow,Node,Downstream Flow,69d47089-84a8-4968-9f92-4fb0b456d70e,
Date,1>Outflow1>Downstream Flow,2>Outflow1>Storage Volume,3>Outflow2>Downstream Flow,4>Outflow2>Storage Volume,5>Outflow3>Downstream Flow,6>Outflow3>Storage Volume,7>Outflow4>Downstream Flow,8>Outflow4>Storage Volume,9>Inflow1>Downstream Flow,10>Inflow2>Downstream Flow,11>Inflow3>Downstream Flow,12>Inflow4>Downstream Flow
EOH
2010-01-02,2.0245183288324435,0,8.9057183815062455,0,0.42478700235421252,0,1.1171084238515612,0,41.537536330000002,41.537536330000002,41.537536330000002,41.537536330000002
2010-01-03,12.070221989875378,0,19.928776715064174,0,8.0762768728967167,0,10.32457933533351,0,42.702181709999998,42.702181709999998,42.702181709999998,42.702181709999998
2010-01-04,24.843475895416873,0,27.807785351656857,0,23.954651553032388,0,24.463767343134762,0,44.779895439999997,44.779895439999997,44.779895439999997,44.779895439999997
2010-01-05,34.105298077067822,0,33.998285991467235,0,35.298949285247822,0,34.572873508486197,0,47.817067890000004,47.817067890000004,47.817067890000004,47.817067890000004
2010-01-06,39.918318439959428,0,37.429291777971365,0,41.795215186154721,0,40.727302521508278,0,45.27157691,45.27157691,45.27157691,45.27157691
2010-01-07,42.525375030145639,0,38.487252473566905,0,44.415423467538687,0,43.416039997214831,0,40.931821589999998,40.931821589999998,40.931821589999998,40.931821589999998
2010-01-08,42.812736302702476,0,38.831626674159551,0,44.2620145872013,0,43.526251375773796,0,39.630036829999995,39.630036829999995,39.630036829999995,39.630036829999995
2010-01-09,41.808232889689378,0,38.539151097108075,0,42.588740401921321,0,42.221766246321863,0,37.860980320000003,37.860980320000003,37.860980320000003,37.860980320000003
2010-01-10,40.520728707661533,0,38.488147934837428,0,40.661373533291275,0,40.632034628022048,0,38.369981760000002,38.369981760000002,38.369981760000002,38.369981760000002
2010-01-11,39.677584970595667,0,38.842419045765261,0,39.38449062561817,0,39.57048306063345,0,39.663798730000003,39.663798730000003,39.663798730000003,39.663798730000003
2010-01-12,39.648534736114875,0,39.761863111415707,0,39.155106677824541,0,39.428833327910205,0,41.900101329999998,41.900101329999998,41.900101329999998,41.900101329999998
2010-01-13,40.120614416484401,0,40.282344757030877,0,39.763685748495078,0,39.95708910960294,0,41.496931420000003,41.496931420000003,41.496931420000003,41.496931420000003
2010-01-14,39.988046263512793,0,38.997827331559286,0,40.208476652471724,0,40.094745332344999,0,36.00575731,36.00575731,36.00575731,36.00575731
2010-01-15,39.059971333019888,0,37.988722280456962,0,39.577620022742657,0,39.281834589546378,0,35.651037590000001,35.651037590000001,35.651037590000001,35.651037590000001
2010-01-16,37.827586382824428,0,37.176780494609737,0,38.101297529065825,0,37.943266932108571,0,35.304057030000003,35.304057030000003,35.304057030000003,35.304057030000003
2010-01-17,36.723910948615845,0,36.507668798003301,0,36.655814169799257,0,36.704255874870235,0,34.969884880000002,34.969884880000002,34.969884880000002,34.969884880000002
2010-01-18,39.33626786059623,0,44.389076101779203,0,37.659353797260913,0,38.503022174997128,0,62.818290979999986,62.818290979999986,62.818290979999986,62.818290979999986
2010-01-19,59.347622460017618,0,91.869607152952284,0,49.634052638977202,0,54.40738701909234,0,217.49746869999998,217.49746869999998,217.49746869999998,217.49746869999998
2010-01-20,95.050554127565107,0,133.60381391744468,0,78.936399737564571,0,87.506133185121328,0,257.4981808,257.4981808,257.4981808,257.4981808
2010-01-21,127.78544596435123,0,128.86711024040508,0,121.50865853423784,0,125.78027107168163,0,114.9035877,114.9035877,114.9035877,114.9035877
2010-01-22,147.79029215875568,0,135.65768906097557,0,158.74497723266646,0,152.58912378125154,0,155.6642914,155.6642914,155.6642914,155.6642914
2010-01-23,176.46945172038826,0,205.36574225671197,0,180.16017741571318,0,176.28777777657572,0,406.29784469999998,406.29784469999998,406.29784469999998,406.29784469999998
2010-01-24,293.39851841626245,0,428.49346881131248,0,250.08600155458649,0,271.82869437130836,0,1017.204964,1017.204964,1017.204964,1017.204964
2010-01-25,609.57567454037348,0,764.15072852240007,0,545.84232963726765,0,580.83368452734794,0,1493.4656500000001,1493.4656500000001,1493.4656500000001,1493.4656500000001
2010-01-26,1079.2930922533483,0,1116.0414560214235,0,1086.6019666532904,0,1082.0593298847491,0,1689.8575679999999,1689.8575679999999,1689.8575679999999,1689.8575679999999
2010-01-27,1466.5015905095529,0,1423.6985469828714,0,1501.8938307351473,0,1482.2640463388805,0,1880.5715490000002,1880.5715490000002,1880.5715490000002,1880.5715490000002
2010-01-28,1674.2703819814933,0,1574.5580666441595,0,1713.0749896440241,0,1693.1225192036061,0,1796.6641070000001,1796.6641070000001,1796.6641070000001,1796.6641070000001
2010-01-29,1870.8548216883739,0,1840.0743305332308,0,1876.8533088611523,0,1874.1010893890214,0,2227.915176,2227.915176,2227.915176,2227.915176
2010-01-30,2321.3813998868795,0,2434.8118361916545,0,2273.0543612345546,0,2298.6262488443062,0,3289.3358689999991,3289.3358689999991,3289.3358689999991,3289.3358689999991
2010-01-31,2980.7331970235859,0,3090.5236600709959,0,2939.4918072804726,0,2961.3375801435027,0,4009.880169,4009.880169,4009.880169,4009.880169
2010-02-01,3556.6681935469164,0,3536.3907348717944,0,3573.9404509705637,0,3564.4139837049029,0,4147.8861029999998,4147.8861029999998,4147.8861029999998,4147.8861029999998
2010-02-02,3772.1579000244492,0,3603.0206738597635,0,3840.0186691771587,0,3804.2203433601048,0,3693.4533969999998,3693.4533969999998,3693.4533969999998,3693.4533969999998
2010-02-03,3551.130548513122,0,3298.4867454580958,0,3633.6274481946771,0,3591.111019244514,0,2883.1490560000007,2883.1490560000007,2883.1490560000007,2883.1490560000007
2010-02-04,3081.8641119353751,0,2873.3236649019113,0,3134.7294652694345,0,3108.2178358069509,0,2284.8484819999999,2284.8484819999999,2284.8484819999999,2284.8484819999999
2010-02-05,2573.5417092686421,0,2458.6546512768127,0,2586.0563792039311,0,2580.8610233540785,0,1875.030802,1875.030802,1875.030802,1875.030802
2010-02-06,2133.2356840231528,0,2098.2523366239611,0,2121.3488657586895,0,2128.5289328974818,0,1583.2465090000001,1583.2465090000001,1583.2465090000001,1583.2465090000001
2010-02-07,1789.0646998343086,0,1804.3618699174551,0,1769.5409655998801,0,1780.0222734634337,0,1379.0583969999998,1379.0583969999998,1379.0583969999998,1379.0583969999998
2010-02-08,1533.1423583594672,0,1572.9685972353707,0,1514.5892090649716,0,1524.0784022593461,0,1234.7316049999999,1234.7316049999999,1234.7316049999999,1234.7316049999999
2010-02-09,1343.8348494609945,0,1389.2515466204288,0,1329.5992796504872,0,1336.6637632235731,0,1118.5864220000001,1118.5864220000001,1118.5864220000001,1118.5864220000001
2010-02-10,1205.3399022381648,0,1250.115947467737,0,1194.5469467436994,0,1199.799739083212,0,1043.8836240000001,1043.8836240000001,1043.8836240000001,1043.8836240000001
2010-02-11,1105.261276167362,0,1145.3271558756742,0,1096.9662857366754,0,1100.998555737852,0,989.29502549999984,989.29502549999984,989.29502549999984,989.29502549999984
2010-02-12,1032.6459758468916,0,1065.6422196076173,0,1026.7189183748521,0,1029.5897427369764,0,946.58179010000003,946.58179010000003,946.58179010000003,946.58179010000003
2010-02-13,978.58690496877091,0,1003.0352789610131,0,975.06102085695886,0,976.73184270586466,0,909.24430389999998,909.24430389999998,909.24430389999998,909.24430389999998
2010-02-14,935.76428957372912,0,951.90681344324503,0,934.07094738793307,0,934.83919417980724,0,873.28690900000004,873.28690900000004,873.28690900000004,873.28690900000004
2010-02-15,898.86252269496822,0,909.29203670983304,0,898.16159216886297,0,898.45284837067993,0,840.44072159999985,840.44072159999985,840.44072159999985,840.44072159999985
2010-02-16,867.39528321031139,0,875.78555876192888,0,866.57053157042787,0,866.95130610142905,0,819.52476449999995,819.52476449999995,819.52476449999995,819.52476449999995
2010-02-17,911.36775626047267,0,972.48001176137814,0,892.79963443449981,0,902.22043803676297,0,1129.7482560000001,1129.7482560000001,1129.7482560000001,1129.7482560000001
2010-02-18,1123.8784622099568,0,1236.4359528351804,0,1086.8313195371736,0,1106.0825471989344,0,1631.4481569999998,1631.4481569999998,1631.4481569999998,1631.4481569999998
2010-02-19,1403.0009812544624,0,1468.7726449551676,0,1386.4036626660456,0,1394.960735829718,0,1812.72641,1812.72641,1812.72641,1812.72641
2010-02-20,1708.5787679796335,0,1754.749320395086,0,1705.2651849776769,0,1706.2261483539421,0,2173.9949240000001,2173.9949240000001,2173.9949240000001,2173.9949240000001
2010-02-21,1986.8192991811113,0,1991.9420693061911,0,1993.950514823609,0,1989.9359993602886,0,2336.2227889999999,2336.2227889999999,2336.2227889999999,2336.2227889999999
2010-02-22,2062.3822555016277,0,1957.2219189791149,0,2102.6252065383155,0,2081.9000095480887,0,1907.0215619999997,1907.0215619999997,1907.0215619999997,1907.0215619999997
2010-02-23,1910.3634053180372,0,1764.319532558638,0,1960.3927862291125,0,1934.4183479579069,0,1484.1906599999995,1484.1906599999995,1484.1906599999995,1484.1906599999995
2010-02-24,1672.391644914532,0,1578.1180107181392,0,1694.8210942062155,0,1683.6079130915639,0,1305.75917,1305.75917,1305.75917,1305.75917
