Date,modelled_flow
01/01/1889, 0
02/01/1889, 0
03/01/1889, 0
04/01/1889, 0
05/01/1889, 0
06/01/1889, 0
07/01/1889, 0
08/01/1889, 0
09/01/1889, 0
10/01/1889, 0
11/01/1889, 0
12/01/1889, 0
13/01/1889, 0
14/01/1889, 0
15/01/1889, 0
16/01/1889, 0
17/01/1889, 0
18/01/1889, 0
19/01/1889, 0
20/01/1889, 0
21/01/1889, 0
22/01/1889, 0
23/01/1889, 0
24/01/1889, 0
25/01/1889, 0
26/01/1889, 0
27/01/1889, 0
28/01/1889, 0
29/01/1889, 0
30/01/1889, 0
31/01/1889, 0
01/02/1889, 0
02/02/1889, 0
03/02/1889, 0
04/02/1889, 0
05/02/1889, 0
06/02/1889, 0
07/02/1889, 0
08/02/1889, 0
09/02/1889, 636.782725972203
10/02/1889, 860.677950749206
11/02/1889, 11264.9411257718
12/02/1889, 12293.5319248677
13/02/1889, 2112.83764894392
14/02/1889, 6692.7902587576
15/02/1889, 1549.47867295338
16/02/1889, 751.948968451626
17/02/1889, 439.423020005121
18/02/1889, 223.722179020904
19/02/1889, 104.123162692985
20/02/1889, 56.9942764553528
21/02/1889, 36.1617161482458
22/02/1889, 26.3975015441769
23/02/1889, 21.7644332374322
24/02/1889, 19.514898430365
25/02/1889, 18.3720723464087
26/02/1889, 17.742099894561
27/02/1889, 17.3492617735324
28/02/1889, 17.0659905898523
01/03/1889, 16.8335653328762
02/03/1889, 16.6251212794248
03/03/1889, 16.4284503497078
04/03/1889, 16.2380566897704
05/03/1889, 612.716049683739
06/03/1889, 539.4646578459
07/03/1889, 286.550171848268
08/03/1889, 131.352085623803
09/03/1889, 69.9111258458561
10/03/1889, 42.5227679029652
11/03/1889, 29.5813981729462
12/03/1889, 23.414619059339
13/03/1889, 20.4341166898656
14/03/1889, 513.01884143458
15/03/1889, 458.932642103696
16/03/1889, 419.019663643868
17/03/1889, 767.63883298715
18/03/1889, 815.914307336201
19/03/1889, 521.405984277456
20/03/1889, 294.816940423213
21/03/1889, 156.649769048561
22/03/1889, 93.060261611461
23/03/1889, 60.1894505072729
24/03/1889, 42.4509082685318
25/03/1889, 32.8450135255149
26/03/1889, 27.6120473413346
27/03/1889, 24.7256587676571
28/03/1889, 23.0944349313533
29/03/1889, 22.1300513038666
30/03/1889, 21.5173347339191
31/03/1889, 21.0894516509688
01/04/1889, 20.7586605450917
02/04/1889, 20.4789673579522
03/04/1889, 20.2265130426547
04/04/1889, 19.9890028314885
05/04/1889, 19.7601443250826
06/04/1889, 19.5367103165845
07/04/1889, 19.3170605542479
08/04/1889, 19.1003682860119
09/04/1889, 18.8862159170311
10/04/1889, 291.128732358424
11/04/1889, 235.304508761575
12/04/1889, 120.867791904336
13/04/1889, 68.2128004153372
14/04/1889, 43.3410094390228
15/04/1889, 30.9499261701105
16/04/1889, 24.7223160320148
17/04/1889, 21.5462441957463
18/04/1889, 19.8814764050164
19/04/1889, 18.9612823457254
20/04/1889, 246.031453329196
21/04/1889, 742.115788329768
22/04/1889, 868.051281611449
23/04/1889, 587.843530435673
24/04/1889, 352.306542004354
25/04/1889, 213.933292504012
26/04/1889, 133.001075316017
27/04/1889, 85.4039286557741
28/04/1889, 121.58119678031
29/04/1889, 330.178739597771
30/04/1889, 548.497899586415
01/05/1889, 791.104701081301
02/05/1889, 1376.66661578795
03/05/1889, 1065.4561243756
04/05/1889, 714.939746480311
05/05/1889, 451.163437539621
06/05/1889, 284.37853526372
07/05/1889, 175.551420205214
08/05/1889, 117.849165709356
09/05/1889, 83.2931342426654
10/05/1889, 61.92080895515
11/05/1889, 48.7860636028017
12/05/1889, 40.675115874856
13/05/1889, 35.628831213101
14/05/1889, 32.4518847128581
15/05/1889, 30.4141313422872
16/05/1889, 29.0704392736919
17/05/1889, 28.1478644885266
18/05/1889, 274.689386042642
19/05/1889, 285.026953696824
20/05/1889, 282.152082479993
21/05/1889, 244.683602955313
22/05/1889, 245.623299003132
23/05/1889, 311.917718419958
24/05/1889, 330.878714646058
25/05/1889, 291.207920975484
26/05/1889, 200.005653882805
27/05/1889, 138.92941115978
28/05/1889, 100.971251316286
29/05/1889, 77.020164320991
30/05/1889, 61.9319485119027
31/05/1889, 52.4425989419368
01/06/1889, 46.4253753426621
02/06/1889, 42.5619407505695
03/06/1889, 40.0345831404792
04/06/1889, 38.3353950639469
05/06/1889, 37.1489025214875
06/06/1889, 36.279310912352
07/06/1889, 35.6054919837587
08/06/1889, 35.0527362935652
09/06/1889, 34.5749967727617
10/06/1889, 34.1440558876338
11/06/1889, 33.7427153816507
12/06/1889, 33.3605421847279
13/06/1889, 32.9912226591336
14/06/1889, 32.6309525452514
15/06/1889, 32.2774432925789
16/06/1889, 31.9293221869371
17/06/1889, 31.5857636211244
18/06/1889, 31.2462678613045
19/06/1889, 30.9105287992066
20/06/1889, 30.5783543396154
21/06/1889, 30.2496196027213
22/06/1889, 29.9242389973016
23/06/1889, 29.6021497795251
24/06/1889, 29.283302454589
25/06/1889, 28.9676552901283
26/06/1889, 28.6551710306532
27/06/1889, 28.3458151346557
28/06/1889, 28.0395547177374
29/06/1889, 27.7363579485878
30/06/1889, 27.4361937125764
01/07/1889, 27.1390314242637
02/07/1889, 26.844840923027
03/07/1889, 26.553592414748
04/07/1889, 131.164408658659
05/07/1889, 93.0721679979619
06/07/1889, 61.298249214917
07/07/1889, 44.4373284182162
08/07/1889, 35.4177602902017
09/07/1889, 30.5362403084054
10/07/1889, 27.8380972951683
11/07/1889, 26.2909980644182
