Date,picnic_sacr_fors_dsflow
01/01/1889, 0
02/01/1889, 0
03/01/1889, 0.257582421687212
04/01/1889, 0.0370196545688338
05/01/1889, 0
06/01/1889, 0
07/01/1889, 0
08/01/1889, 0
09/01/1889, 0
10/01/1889, 0
11/01/1889, 0.00320071646047447
12/01/1889, 0
13/01/1889, 0.280351785521058
14/01/1889, 0.0819013429770363
15/01/1889, 0
16/01/1889, 0
17/01/1889, 0
18/01/1889, 0
19/01/1889, 0
20/01/1889, 0
21/01/1889, 0
22/01/1889, 0
23/01/1889, 0
24/01/1889, 0
25/01/1889, 0.114411137974375
26/01/1889, 1.00685887600247
27/01/1889, 0.699984756855637
28/01/1889, 0
29/01/1889, 1.38411015105923
30/01/1889, 3.10672435985569
31/01/1889, 0.869712497317651
01/02/1889, 0.727378551788627
02/02/1889, 0.0393280065400532
03/02/1889, 0
04/02/1889, 0.0449742022861378
05/02/1889, 0.154348884625182
06/02/1889, 0
07/02/1889, 0
08/02/1889, 0.504023703113241
09/02/1889, 19.0460929070934
10/02/1889, 155.749339778977
11/02/1889, 398.276635116609
12/02/1889, 854.648532421454
13/02/1889, 1850.22213649047
14/02/1889, 2104.01596348651
15/02/1889, 1800.58760195743
16/02/1889, 1887.63049535387
17/02/1889, 1537.72642948326
18/02/1889, 1133.51987607777
19/02/1889, 816.919663493446
20/02/1889, 681.581816974031
21/02/1889, 644.669817671821
22/02/1889, 624.848481813867
23/02/1889, 608.016721592036
24/02/1889, 592.501516306858
25/02/1889, 578.304700624105
26/02/1889, 564.60413636206
27/02/1889, 551.330455800578
28/02/1889, 538.462888808912
01/03/1889, 525.986973650094
02/03/1889, 513.889656326241
03/03/1889, 502.158472588449
04/03/1889, 493.714356678591
05/03/1889, 492.228906921156
06/03/1889, 653.588635140495
07/03/1889, 860.116938503419
08/03/1889, 622.234333702099
09/03/1889, 503.735839781489
10/03/1889, 483.100154099599
11/03/1889, 471.457588396458
12/03/1889, 461.095392728713
13/03/1889, 452.233343130492
14/03/1889, 453.14762549366
15/03/1889, 605.461096632223
16/03/1889, 785.691469201502
17/03/1889, 648.40417905796
18/03/1889, 791.657222368172
19/03/1889, 974.800731404346
20/03/1889, 833.942375462361
21/03/1889, 623.179801194581
22/03/1889, 536.528764752578
23/03/1889, 515.158008656626
24/03/1889, 502.24089248662
25/03/1889, 491.105565921487
26/03/1889, 480.534215000842
27/03/1889, 470.31282026847
28/03/1889, 460.806253021673
29/03/1889, 451.890396887195
30/03/1889, 442.09592704271
31/03/1889, 432.569520207736
01/04/1889, 424.156061282753
02/04/1889, 415.743685096535
03/04/1889, 406.717025278837
04/04/1889, 398.626279789495
05/04/1889, 391.932460850622
06/04/1889, 386.300809165098
07/04/1889, 377.851458511255
08/04/1889, 369.250648552636
09/04/1889, 363.120753769589
10/04/1889, 360.027617203855
11/04/1889, 387.370119294873
